Card Title,One-Liner,Horizon,Effort,Item Count,Status Summary,User Story 1,User Story 2,User Story 3
Filter Results to Your Region,"Restrict predictions to plausible species using regional checklists, geofencing, and class masking.",now-3mo,M,8,2 tracked in GitHub; 6 partially implemented,"As a field ecologist, I want predictions restricted to species in my region so I don't waste time on impossible IDs.","As a project manager, I want geofenced results so partner reports only include locally plausible species.",
Honest Results at the Right Level,Roll up to genus or family when the model is uncertain — coarser-but-confident predictions beat wrong species IDs.,now-3mo,L,10,7 partially implemented; 3 untracked,"As a taxonomist, I want the system to roll up to genus when it can't confidently identify to species, so results are honest rather than wrong.","As a project manager, I want confidence-appropriate results in reports so partners trust the data.",
Pipeline and Model Management,"Configure, deploy, and manage ML pipelines — model registry, processing service UI, reprocessing, active/inactive pipelines.",now-3mo,L,16,2 tracked in GitHub; 14 partially implemented,"As a project manager, I want to choose which ML pipelines run on my data without developer help.","As an ML researcher, I want to register new models and track their lineage in the platform.",
Confidence You Can Measure,"Estimate and display how confident the system is about each prediction using accuracy metrics per species, region, and camera.",now-3mo,L,10,4 tracked in GitHub; 5 partially implemented; 1 untracked,"As a field ecologist, I want to see how accurate the model is on my specific data so I know when to trust it.","As a project manager, I want auto-generated accuracy reports so I can include reliability statements in publications.","As an ML researcher, I want per-class confidence calibration so I can identify where the model needs improvement."
Track Insects Across Frames,Use multiple detections of the same individual across frames to improve species identification of occurrences.,now-3mo,M,5,1 tracked in GitHub; 4 partially implemented,"As a field ecologist, I want the system to combine evidence from multiple photos of the same insect to get a more reliable ID.","As an ML researcher, I want temporal tracking to aggregate classification scores across detections for better occurrence-level predictions.",
Remove Bad Data Automatically,"Filter out blurry, cut-off, or too-small detections before classification so results aren't polluted by junk.",now-3mo,L,10,1 tracked in GitHub; 9 partially implemented,"As a field ecologist, I want the system to skip images that are too blurry or partial so I only review real observations.","As a project manager, I want cleaner results by default so species counts reflect actual biodiversity, not image artifacts.",
Better Default Settings,"Ship sensible defaults that hide noise — confidence thresholds, non-insect class hiding, and per-project configuration.",now-3mo,S,3,1 tracked in GitHub; 1 partially implemented; 1 untracked,"As a new user, I want the system to show useful results out of the box without needing to configure thresholds manually.","As a project manager, I want project-level default filters so my team sees clean results without individual setup.",
Improved Insect Detector,"Reduce duplicate detections, handle more camera types, and skip non-insect artifacts in high-volume scenarios.",now-3mo,M,8,2 tracked in GitHub; 6 partially implemented,"As a field ecologist, I want fewer false detections so I spend less time dismissing non-insects.","As an ML researcher, I want the detector to handle overlapping detections better so downstream classification isn't confused.",
New Processing Pipeline,Get the new async processing pipeline running and tested with partner data for real-world feedback.,now-3mo,S,3,1 tracked in GitHub; 2 partially implemented,"As a project manager, I want reliable automated processing so results arrive without manual intervention.","As an ML researcher, I want to test new models on partner data to validate improvements before wider rollout.",
Fix Critical Bugs,"Resolve trust-killing issues: password reset, dangling jobs, processing failures, and milestone #27 items.",now-3mo,L,15,4 tracked in GitHub; 7 partially implemented; 4 untracked,"As a user, I want to reset my password without contacting a developer so I can recover my account independently.","As a project manager, I want processing jobs to complete reliably without hanging indefinitely.","As any user, I want basic platform operations to work consistently so I can trust the system with my research."
Project Quick Start,Let new users go from 'I have images' to 'I see results' in minutes with a single guided form.,now-3mo,L,19,19 untracked,"As a new user at a conference, I want to upload sample images and see results immediately so I know if Antenna works for my data.","As a field ecologist, I want to create a project with minimal setup so I can evaluate the platform quickly.","As a project manager, I want a demo project that showcases the platform's capabilities to potential partners."
Verification That Scales,Suggest which occurrences to verify for maximum calibration value instead of verifying everything one by one.,now-3mo,S,2,1 tracked in GitHub; 1 untracked,"As a taxonomist, I want the system to suggest which identifications need my attention most so I use my time efficiently.","As a field ecologist, I want to know when I've verified enough to trust the overall results so I can stop checking every record.","As an ML researcher, I want to identify which verified records would be most valuable for model retraining."
Processing Reliability,"Make jobs complete consistently — fix timeouts, improve error handling, and add progress visibility.",now-3mo,S,2,2 partially implemented,"As a project manager, I want to see real-time progress of processing jobs so I know what's happening.","As a field ecologist, I want failed jobs to recover gracefully instead of losing all progress.",
Species List Management,"Create, edit, and assign regional species lists to projects for class masking and result filtering.",now-3mo,L,13,4 tracked in GitHub; 6 partially implemented; 3 untracked,"As a taxonomist, I want to maintain a regional species checklist so predictions are restricted to plausible species.","As a project manager, I want to assign different species lists to different deployments based on their location.",
Data Upload and Import,Upload images from cameras and import externally processed data without developer help.,now-3mo,L,19,6 tracked in GitHub; 12 partially implemented; 1 untracked,"As a field ecologist, I want to upload images from my camera's SD card to the platform without command-line tools.","As a project manager, I want to import detection results from another system so I can use Antenna for verification and analysis.",
Model Retraining for Partners,Retrain and deploy regional models using partner-verified data to improve accuracy for specific use cases.,now-3mo,L,12,12 partially implemented,"As an ML researcher, I want to retrain the classifier on Panama-verified data so results improve for tropical species.","As a project manager, I want a regional model tuned to my camera's data so accuracy reflects my specific conditions.",
Auth and Account Basics,"Fix password reset, sign-up flow, and basic role management so users can manage their own accounts.",now-3mo,L,11,1 tracked in GitHub; 4 partially implemented; 6 untracked,"As a user, I want to reset my password via email without needing developer assistance.","As a project manager, I want to invite team members and assign roles so the right people have the right access.",
